#X,rev_axeAmortisseur_supportPrincipal->RZ_Velocity(rel)
#Time(sec),Angular Velocity(degrees/sec)_Real
2.240000E+00,-5.419342
2.250000E+00,-5.421616
2.260000E+00,-5.423895
2.270000E+00,-5.426178
2.280000E+00,-5.428467
2.290000E+00,-5.430760
2.300000E+00,-5.433058
2.310000E+00,-5.435361
2.320000E+00,-5.437669
2.330000E+00,-5.439982
2.340000E+00,-5.442300
2.350000E+00,-5.444622
2.360000E+00,-5.446949
2.370000E+00,-5.449281
2.380000E+00,-5.451617
2.390000E+00,-5.453958
2.400000E+00,-5.456304
2.410000E+00,-5.458655
2.420000E+00,-5.461010
2.430000E+00,-5.463370
2.440000E+00,-5.465734
2.450000E+00,-5.468103
2.460000E+00,-5.470476
2.470000E+00,-5.472854
2.480000E+00,-5.475236
2.490000E+00,-5.477624
2.500000E+00,-5.480015
2.510000E+00,-5.482411
2.520000E+00,-5.484811
2.530000E+00,-5.487216
2.540000E+00,-5.489625
2.550000E+00,-5.492038
2.560000E+00,-5.494456
2.570000E+00,-5.496878
2.580000E+00,-5.499304
2.590000E+00,-5.501735
2.600000E+00,-5.504170
2.610000E+00,-5.506609
2.620000E+00,-5.509052
2.630000E+00,-5.511500
2.640000E+00,-5.513952
2.650000E+00,-5.516407
2.660000E+00,-5.518867
2.670000E+00,-5.521332
2.680000E+00,-5.523800
2.690000E+00,-5.526272
2.700000E+00,-5.528749
2.710000E+00,-5.531229
2.720000E+00,-5.533714
2.730000E+00,-5.536202
2.740000E+00,-5.538694
2.750000E+00,-5.541191
2.760000E+00,-5.543691
2.770000E+00,-5.546195
2.780000E+00,-5.548703
2.790000E+00,-5.551215
2.800000E+00,-5.553731
2.810000E+00,-5.556251
2.820000E+00,-5.558774
2.830000E+00,-5.561302
2.840000E+00,-5.563833
2.850000E+00,-5.566367
2.860000E+00,-5.568906
2.870000E+00,-5.571448
2.880000E+00,-5.573994
2.890000E+00,-5.576544
2.900000E+00,-5.579097
2.910000E+00,-5.581654
2.920000E+00,-5.584214
2.930000E+00,-5.586778
2.940000E+00,-5.589346
2.950000E+00,-5.591917
2.960000E+00,-5.594492
2.970000E+00,-5.597070
2.980000E+00,-5.599652
2.990000E+00,-5.602237
3.000000E+00,-5.604825
3.010000E+00,-5.607417
3.020000E+00,-5.610013
3.030000E+00,-5.612611
3.040000E+00,-5.615213
3.050000E+00,-5.617819
3.060000E+00,-5.620428
3.070000E+00,-5.623040
